,model,dataset,n_classes_per_task,domain_inc,pretrained,task_idx,perf_metric,sim_metric,corr_value
98,resnet,cifar-100,20,False,False,4.0,all_cl_accs,max_prob_ratio,0.7677721151862523
99,resnet,cifar-100,20,False,False,4.0,all_cl_accs,kl_div,0.8437623293680345
100,resnet,cifar-100,20,False,False,4.0,all_fgts,prototypes_sim,-0.19176127768169668
101,resnet,cifar-100,20,False,False,4.0,all_fgts,entropy_ratio,-0.7962450483852815
102,resnet,cifar-100,20,False,False,4.0,all_fgts,wass_dist,-0.9250000425956223
103,resnet,cifar-100,20,False,False,4.0,all_fgts,subspace_overlap,-0.9557873249664884
104,resnet,cifar-100,20,False,False,4.0,all_fgts,task2vec_final_layer,-0.7009296411165821
105,resnet,cifar-100,20,False,False,4.0,all_fgts,trace_overlap,-0.27792957676086216
106,resnet,cifar-100,20,False,False,4.0,all_fgts,max_logit_ratio,0.8194815396006095
107,resnet,cifar-100,20,False,False,4.0,all_fgts,task2vec_all_layers,0.7432865422307127
108,resnet,cifar-100,20,False,False,4.0,all_fgts,max_prob_ratio,0.6954731928603377
109,resnet,cifar-100,20,False,False,4.0,all_fgts,kl_div,0.5973397997797752
110,resnet,cifar-100,20,False,False,4.0,all_transfers,prototypes_sim,-0.6796175562856314
111,resnet,cifar-100,20,False,False,4.0,all_transfers,entropy_ratio,-0.9954482242619334
112,resnet,cifar-100,20,False,False,4.0,all_transfers,wass_dist,-0.9864964073246361
113,resnet,cifar-100,20,False,False,4.0,all_transfers,subspace_overlap,-0.6579105672760187
114,resnet,cifar-100,20,False,False,4.0,all_transfers,task2vec_final_layer,-0.9713827656835256
115,resnet,cifar-100,20,False,False,4.0,all_transfers,trace_overlap,-0.7419155853783946
116,resnet,cifar-100,20,False,False,4.0,all_transfers,max_logit_ratio,0.9984320850997248
117,resnet,cifar-100,20,False,False,4.0,all_transfers,task2vec_all_layers,0.9841037212204354
118,resnet,cifar-100,20,False,False,4.0,all_transfers,max_prob_ratio,0.9695442279821408
